what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359403570
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532359404916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359407255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359440340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359442378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359443804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359444813
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359446376
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359450861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359451863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359552954
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359554334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359561249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359562852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359690446
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359701893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359801056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359802195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359906787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359911742
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359951101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359952013
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359952563
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359958468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532359965299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360008093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360031460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360032987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360110685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360143577
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360417117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360418040
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360418568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532360422192
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532360435463
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532360446007
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532360463740
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1532360500246
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532360508756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532360524846
error,log,,,"Internal Error",1532360527022
error,log,,,"Internal Error",1532360527524
error,log,,,"Internal Error",1532360527911
error,log,,,"Internal Error",1532360528429
