what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532437826007
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438365398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438366407
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438414331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532438485997
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532438489815
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1532438490439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438519502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438520195
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1532438521096
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1532438521361
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1532438521377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438525120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438525900
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532438543916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532438546660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438555557
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438691985
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438692391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438693420
error,log,,,"Internal Error",1532438793443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532438814134
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532438816063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532438920735
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1532438920981
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1532438920996
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1532438920996
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1532438921012
started,bundle,org.eclipse.jst.jsf.common,1.2.0.v20100604,"org.eclipse.jst.jsf.common",1532438921048
started,bundle,org.eclipse.jst.jsf.core,1.3.0.v20100602,"org.eclipse.jst.jsf.core",1532438921056
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1532438921109
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1532438921892
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1532438921892
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1532438921908
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532438935926
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532438937525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438966569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532438980736
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532438983593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532438983827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532438984212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532439004457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532439005982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439010489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439038545
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532439045668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439055440
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439068140
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439098710
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439101472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439121503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439422291
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439434043
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1532439436398
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1532439436460
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1532439436476
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1532439436795
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1532439436865
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532439438299
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532439443915
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439452445
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1532439452894
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532439454781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439458980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439460016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439462144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439462813
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532439463433
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439464994
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532439471157
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532439474305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532439475625
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532439476187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532439476872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439477927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439480580
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532439496198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439505485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439507021
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532439508070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532439537928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439643413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439646151
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439646558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439647955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439648944
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439651174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439655212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439658024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439662367
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439663199
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439666601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439667715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439672452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532439673999
