what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532364681672
error,log,,,"Unhandled event loop exception",1532364686032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532364688083
error,log,,,"Unhandled event loop exception",1532364688728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532364689899
error,log,,,"Unhandled event loop exception",1532364691293
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532364692297
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364693923
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364694167
error,log,,,"Unhandled event loop exception",1532364694171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532364706637
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532364712970
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532364727327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1532364730870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532364736283
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532364738688
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532364739171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532364767538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532364769518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532364775138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364795500
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364803769
error,log,,,"Unexpected runtime error while computing a text hover",1532364805980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532364813559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532364822176
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1532364825393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364830133
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364832104
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532364833805
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364834605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364838162
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532364848285
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532364866148
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532364867402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532364881115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532364882358
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1532364893174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532364896114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532364903518
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1532364906420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532364910017
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364923069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364931927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364932663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364942045
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532364950293
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532364950530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364952947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364958643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364959329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364961572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364968185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532364993790
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532365000014
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532365001506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532365002499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532365004139
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532365010204
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532365016578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532365018023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365020590
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532365026655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532365053412
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532365053720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532365053895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365057326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532365058349
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532365061752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365064272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532365073964
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365076141
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365078096
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365080735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532365082477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532365084580
